"","Variance","Skewness","Kurtosis","Entropy","Class"
"1",6,6,2,1,0
"2",6,6,2,1,0
"3",6,4,2,1,0
"4",6,6,2,1,0
"5",4,4,2,1,0
"6",6,7,2,1,0
"7",6,5,2,1,0
"8",5,2,2,1,0
"9",6,6,2,1,0
"10",4,6,2,1,0
"11",4,6,2,1,0
"12",6,4,2,1,0
"13",5,6,2,1,0
"14",2,7,2,1,0
"15",6,6,2,1,0
"16",6,4,2,1,0
"17",6,5,2,1,0
"18",4,5,2,1,0
"19",4,4,2,1,0
"20",6,7,2,1,0
"21",6,6,2,1,0
"22",4,4,2,1,0
"23",6,7,2,1,0
"24",4,6,2,1,0
"25",6,7,1,1,0
"26",4,3,2,1,0
"27",4,4,2,1,0
"28",3,6,2,1,0
"29",6,7,2,1,0
"30",6,4,2,1,0
"31",3,5,2,1,0
"32",4,5,2,1,0
"33",6,6,2,1,0
"34",2,6,2,1,0
"35",2,5,2,1,0
"36",6,6,2,1,0
"37",6,6,2,1,0
"38",6,5,2,1,0
"39",6,5,2,1,0
"40",6,7,2,1,0
"41",6,6,2,1,0
"42",3,6,2,1,0
"43",3,6,2,1,0
"44",4,6,2,1,0
"45",6,6,2,1,0
"46",2,6,2,1,0
"47",5,6,2,1,0
"48",2,6,2,1,0
"49",6,6,2,1,0
"50",4,5,2,1,0
"51",6,4,2,1,0
"52",6,5,2,1,0
"53",6,6,2,1,0
"54",6,6,2,1,0
"55",6,6,2,1,0
"56",6,5,2,1,0
"57",6,6,2,1,0
"58",6,5,2,1,0
"59",6,4,2,1,0
"60",2,7,2,1,0
"61",6,5,2,1,0
"62",4,6,2,1,0
"63",6,7,2,1,0
"64",5,5,2,1,0
"65",6,5,2,1,0
"66",6,5,2,1,0
"67",6,4,2,1,0
"68",6,6,2,1,0
"69",4,6,2,1,0
"70",3,6,2,1,0
"71",6,4,2,1,0
"72",6,5,2,1,0
"73",6,7,2,1,0
"74",6,4,2,1,0
"75",6,7,1,1,0
"76",5,5,2,1,0
"77",6,6,2,1,0
"78",3,6,2,1,0
"79",3,6,2,1,0
"80",4,5,2,1,0
"81",6,6,2,1,0
"82",6,5,2,1,0
"83",6,6,2,1,0
"84",5,6,2,1,0
"85",6,6,2,1,0
"86",6,5,2,1,0
"87",2,5,2,1,0
"88",4,6,2,1,0
"89",6,4,2,1,0
"90",6,5,2,1,0
"91",4,6,2,1,0
"92",6,5,2,1,0
"93",6,6,2,1,0
"94",6,2,2,1,0
"95",6,5,2,1,0
"96",2,4,2,1,0
"97",6,5,2,1,0
"98",5,2,2,1,0
"99",6,7,2,1,0
"100",2,7,2,1,0
"101",6,3,2,1,0
"102",6,4,2,1,0
"103",6,5,2,1,0
"104",6,4,2,1,0
"105",6,5,2,1,0
"106",6,5,2,1,0
"107",5,7,2,1,0
"108",2,6,2,1,0
"109",6,6,2,1,0
"110",6,7,2,1,0
"111",6,4,2,1,0
"112",4,6,2,1,0
"113",6,7,2,1,0
"114",6,6,2,1,0
"115",4,6,2,1,0
"116",6,5,2,1,0
"117",6,6,2,1,0
"118",5,6,2,1,0
"119",6,5,2,1,0
"120",4,4,2,1,0
"121",6,7,2,1,0
"122",6,7,2,1,0
"123",2,6,2,1,0
"124",2,5,2,1,0
"125",2,7,2,1,0
"126",6,6,2,1,0
"127",2,7,2,1,0
"128",6,4,2,1,0
"129",6,5,2,1,0
"130",6,5,2,1,0
"131",6,4,2,1,0
"132",6,6,2,1,0
"133",5,6,2,1,0
"134",4,6,2,1,0
"135",2,6,2,1,0
"136",6,7,2,1,0
"137",6,6,1,1,0
"138",6,6,2,1,0
"139",6,7,2,1,0
"140",3,6,2,1,0
"141",5,5,2,1,0
"142",4,5,2,1,0
"143",6,5,2,1,0
"144",6,4,2,1,0
"145",6,7,2,1,0
"146",4,4,2,1,0
"147",6,5,2,1,0
"148",4,5,2,1,0
"149",6,5,2,1,0
"150",6,6,2,1,0
"151",6,6,2,1,0
"152",2,7,2,1,0
"153",6,5,2,1,0
"154",6,7,2,1,0
"155",5,6,2,1,0
"156",6,5,2,1,0
"157",6,4,2,1,0
"158",6,4,2,1,0
"159",5,4,2,1,0
"160",4,5,2,1,0
"161",6,5,2,1,0
"162",6,6,2,1,0
"163",3,6,2,1,0
"164",6,6,2,1,0
"165",6,5,2,1,0
"166",6,4,2,1,0
"167",4,6,2,1,0
"168",4,6,2,1,0
"169",2,7,2,1,0
"170",3,6,2,1,0
"171",4,5,2,1,0
"172",6,4,2,1,0
"173",2,5,2,1,0
"174",2,7,2,1,0
"175",5,5,2,1,0
"176",6,4,2,1,0
"177",3,6,2,1,0
"178",6,6,2,1,0
"179",3,5,2,1,0
"180",6,7,2,1,0
"181",4,5,2,1,0
"182",3,5,2,1,0
"183",2,6,2,1,0
"184",6,6,2,1,0
"185",2,7,2,1,0
"186",2,7,2,1,0
"187",6,4,2,1,0
"188",5,6,2,1,0
"189",6,4,2,1,0
"190",6,3,2,1,0
"191",4,4,2,1,0
"192",6,7,2,1,0
"193",4,5,2,1,0
"194",6,5,2,1,0
"195",2,7,2,1,0
"196",2,6,2,1,0
"197",6,6,2,1,0
"198",5,6,2,1,0
"199",6,5,2,1,0
"200",6,6,2,1,0
"201",2,7,2,1,0
"202",6,4,2,1,0
"203",2,6,2,1,0
"204",6,7,2,1,0
"205",4,6,2,1,0
"206",6,5,2,1,0
"207",6,6,2,1,0
"208",6,6,2,1,0
"209",5,6,2,1,0
"210",5,5,2,1,0
"211",6,6,1,1,0
"212",6,7,2,1,0
"213",6,6,2,1,0
"214",4,5,2,1,0
"215",6,5,2,1,0
"216",6,5,2,1,0
"217",4,5,2,1,0
"218",4,5,2,1,0
"219",3,6,2,1,0
"220",2,7,2,1,0
"221",2,7,2,1,0
"222",6,6,2,1,0
"223",4,5,2,1,0
"224",6,7,1,1,0
"225",3,5,2,1,0
"226",4,5,2,1,0
"227",4,5,2,1,0
"228",2,7,2,1,0
"229",6,4,2,1,0
"230",6,5,2,1,0
"231",2,5,2,1,0
"232",2,7,2,1,0
"233",5,5,2,1,0
"234",4,5,2,1,0
"235",6,5,2,1,0
"236",5,5,2,1,0
"237",2,6,2,1,0
"238",6,5,2,1,0
"239",6,5,2,1,0
"240",6,6,2,1,0
"241",6,6,2,1,0
"242",2,5,2,1,0
"243",4,5,2,1,0
"244",6,6,2,1,0
"245",6,6,2,1,0
"246",6,4,2,1,0
"247",4,5,2,1,0
"248",5,5,2,1,0
"249",4,5,2,1,0
"250",4,6,2,1,0
"251",6,4,2,1,0
"252",4,7,2,1,0
"253",4,6,2,1,0
"254",6,5,2,1,0
"255",6,7,2,1,0
"256",6,4,2,1,0
"257",6,4,2,1,0
"258",5,6,2,1,0
"259",6,5,2,1,0
"260",6,5,2,1,0
"261",6,6,2,1,0
"262",6,5,2,1,0
"263",5,6,2,1,0
"264",6,6,2,1,0
"265",6,6,2,1,0
"266",4,5,2,1,0
"267",3,7,2,1,0
"268",6,7,2,1,0
"269",4,4,2,1,0
"270",6,5,2,1,0
"271",6,7,2,1,0
"272",6,7,2,1,0
"273",6,5,2,1,0
"274",6,6,2,1,0
"275",6,5,2,1,0
"276",6,6,2,1,0
"277",6,5,2,1,0
"278",4,4,2,1,0
"279",4,6,2,1,0
"280",5,6,2,1,0
"281",3,5,2,1,0
"282",6,4,2,1,0
"283",6,4,2,1,0
"284",4,5,2,1,0
"285",2,7,2,1,0
"286",4,2,2,1,0
"287",4,4,2,1,0
"288",4,7,2,1,0
"289",4,5,2,1,0
"290",6,6,2,1,0
"291",6,5,2,1,0
"292",2,7,2,1,0
"293",6,6,2,1,0
"294",5,5,2,1,0
"295",6,5,2,1,0
"296",5,6,2,1,0
"297",3,6,2,1,0
"298",4,6,2,1,0
"299",4,5,2,1,0
"300",5,6,2,1,0
"301",4,4,2,1,0
"302",6,6,2,1,0
"303",4,6,2,1,0
"304",2,7,2,1,0
"305",5,7,2,1,0
"306",4,7,2,1,0
"307",3,6,2,1,0
"308",4,4,2,1,0
"309",6,7,2,1,0
"310",6,6,2,1,0
"311",6,4,2,1,0
"312",6,4,2,1,0
"313",4,5,2,1,0
"314",5,5,2,1,0
"315",4,6,2,1,0
"316",4,4,2,1,0
"317",6,6,2,1,0
"318",6,6,2,1,0
"319",4,4,2,1,0
"320",6,5,2,1,0
"321",4,4,2,1,0
"322",6,6,2,1,0
"323",2,5,2,1,0
"324",6,7,2,1,0
"325",6,5,2,1,0
"326",6,5,2,1,0
"327",3,2,2,1,0
"328",6,6,1,1,0
"329",6,6,2,1,0
"330",4,5,2,1,0
"331",4,5,2,1,0
"332",5,5,2,1,0
"333",6,5,2,1,0
"334",6,6,2,1,0
"335",6,5,2,1,0
"336",6,4,2,1,0
"337",6,5,2,1,0
"338",4,5,2,1,0
"339",4,6,2,1,0
"340",5,6,2,1,0
"341",6,6,2,1,0
"342",2,7,2,1,0
"343",6,5,2,1,0
"344",4,7,2,1,0
"345",6,6,2,1,0
"346",2,6,2,1,0
"347",6,5,2,1,0
"348",6,5,2,1,0
"349",6,5,2,1,0
"350",1,6,2,1,0
"351",2,7,2,1,0
"352",4,4,2,1,0
"353",4,4,2,1,0
"354",4,6,2,1,0
"355",6,6,2,1,0
"356",3,6,2,1,0
"357",6,6,2,1,0
"358",6,6,2,1,0
"359",6,7,2,1,0
"360",2,7,2,1,0
"361",6,4,2,1,0
"362",6,5,2,1,0
"363",4,5,2,1,0
"364",6,5,2,1,0
"365",6,6,2,1,0
"366",6,5,2,1,0
"367",6,6,2,1,0
"368",6,6,2,1,0
"369",6,5,2,1,0
"370",5,5,2,1,0
"371",5,7,2,1,0
"372",6,4,2,1,0
"373",4,7,2,1,0
"374",5,6,2,1,0
"375",2,5,2,1,0
"376",4,7,2,1,0
"377",6,6,2,1,0
"378",2,7,2,1,0
"379",6,6,2,1,0
"380",6,5,2,1,0
"381",4,5,2,1,0
"382",6,7,2,1,0
"383",4,5,2,1,0
"384",6,7,2,1,0
"385",4,7,2,1,0
"386",5,6,2,1,0
"387",2,7,2,1,0
"388",6,4,2,1,0
"389",2,7,2,1,0
"390",6,7,2,1,0
"391",3,6,2,1,0
"392",5,6,2,1,0
"393",4,6,2,1,0
"394",6,7,2,1,0
"395",2,7,2,1,0
"396",4,5,2,1,0
"397",6,5,2,1,0
"398",3,6,2,1,0
"399",6,5,2,1,0
"400",6,6,2,1,0
"401",4,5,2,1,0
"402",5,2,2,1,0
"403",5,6,2,1,0
"404",6,4,2,1,0
"405",4,5,2,1,0
"406",4,6,2,1,0
"407",3,6,2,1,0
"408",3,6,2,1,0
"409",6,5,2,1,0
"410",4,6,2,1,0
"411",5,5,2,1,0
"412",6,5,2,1,0
"413",6,7,2,1,0
"414",6,5,2,1,0
"415",5,6,2,1,0
"416",6,4,2,1,0
"417",6,7,2,1,0
"418",4,5,2,1,0
"419",2,5,2,1,0
"420",5,3,2,1,0
"421",2,7,2,1,0
"422",2,5,2,1,0
"423",6,7,2,1,0
"424",3,6,2,1,0
"425",5,6,2,1,0
"426",4,4,2,1,0
"427",2,7,2,1,0
"428",2,7,2,1,0
"429",6,5,2,1,0
"430",6,4,2,1,0
"431",4,6,2,1,0
"432",4,5,2,1,0
"433",6,6,2,1,0
"434",5,7,2,1,0
"435",6,7,2,1,0
"436",4,6,2,1,0
"437",4,5,2,1,0
"438",4,6,2,1,0
"439",6,6,2,1,0
"440",6,5,2,1,0
"441",6,5,2,1,0
"442",4,7,2,1,0
"443",6,7,2,1,0
"444",6,5,2,1,0
"445",4,6,2,1,0
"446",6,4,2,1,0
"447",6,5,2,1,0
"448",6,5,2,1,0
"449",6,7,2,1,0
"450",6,4,2,1,0
"451",6,4,2,1,0
"452",6,6,2,1,0
"453",4,6,2,1,0
"454",6,7,2,1,0
"455",4,6,2,1,0
"456",6,7,2,1,0
"457",5,5,2,1,0
"458",4,5,2,1,0
"459",6,4,2,1,0
"460",4,6,2,1,0
"461",4,6,2,1,0
"462",6,6,2,1,0
"463",6,6,2,1,0
"464",2,7,2,1,0
"465",6,5,2,1,0
"466",2,7,2,1,0
"467",4,5,2,1,0
"468",6,6,2,1,0
"469",6,6,2,1,0
"470",3,6,2,1,0
"471",4,6,2,1,0
"472",4,6,2,1,0
"473",6,6,2,1,0
"474",6,6,2,1,0
"475",6,7,2,1,0
"476",6,5,2,1,0
"477",4,5,2,1,0
"478",6,6,2,1,0
"479",2,5,2,1,0
"480",5,5,2,1,0
"481",4,5,2,1,0
"482",6,6,2,1,0
"483",3,6,2,1,0
"484",4,6,2,1,0
"485",6,5,2,1,0
"486",6,6,2,1,0
"487",6,6,2,1,0
"488",6,6,2,1,0
"489",4,6,2,1,0
"490",6,5,2,1,0
"491",5,6,2,1,0
"492",6,4,2,1,0
"493",2,7,2,1,0
"494",6,7,2,1,0
"495",6,4,2,1,0
"496",3,7,2,1,0
"497",6,4,2,1,0
"498",3,5,2,1,0
"499",4,5,2,1,0
"500",4,6,2,1,0
"501",6,5,2,1,0
"502",4,5,2,1,0
"503",5,2,2,1,0
"504",6,5,2,1,0
"505",6,6,2,1,0
"506",6,6,2,1,0
"507",5,6,2,1,0
"508",6,6,2,1,0
"509",6,5,2,1,0
"510",3,6,2,1,0
"511",6,5,2,1,0
"512",6,5,2,1,0
"513",6,7,2,1,0
"514",6,6,2,1,0
"515",5,5,2,1,0
"516",6,6,2,1,0
"517",2,7,2,1,0
"518",4,5,2,1,0
"519",6,4,2,1,0
"520",6,6,2,1,0
"521",6,6,2,1,0
"522",4,6,2,1,0
"523",4,5,2,1,0
"524",5,5,2,1,0
"525",4,5,2,1,0
"526",4,6,2,1,0
"527",5,6,2,1,0
"528",6,6,2,1,0
"529",6,5,2,1,0
"530",2,7,2,1,0
"531",6,6,2,1,0
"532",6,7,2,1,0
"533",6,5,2,1,0
"534",3,6,2,1,0
"535",6,6,2,1,0
"536",5,4,2,1,0
"537",6,5,2,1,0
"538",3,5,2,1,0
"539",4,5,2,1,0
"540",6,5,2,1,0
"541",6,5,2,1,0
"542",6,5,2,1,0
"543",6,7,2,1,0
"544",2,7,2,1,0
"545",6,5,2,1,0
"546",6,4,2,1,0
"547",4,6,2,1,0
"548",6,4,2,1,0
"549",5,6,2,1,0
"550",6,5,2,1,0
"551",6,5,2,1,0
"552",6,6,2,1,0
"553",6,7,2,1,0
"554",6,4,2,1,0
"555",6,4,2,1,0
"556",5,5,2,1,0
"557",4,6,2,1,0
"558",6,5,2,1,0
"559",6,4,2,1,0
"560",5,5,2,1,0
"561",6,7,2,1,0
"562",3,5,2,1,0
"563",2,7,2,1,0
"564",6,7,2,1,0
"565",5,5,2,1,0
"566",4,6,2,1,0
"567",6,6,2,1,0
"568",6,6,2,1,0
"569",6,5,2,1,0
"570",5,2,2,1,0
"571",6,5,2,1,0
"572",5,3,2,1,0
"573",6,7,2,1,0
"574",6,6,2,1,0
"575",4,6,2,1,0
"576",6,6,2,1,0
"577",4,7,2,1,0
"578",6,4,2,1,0
"579",5,5,2,1,0
"580",4,6,2,1,0
"581",6,6,2,1,0
"582",2,7,2,1,0
"583",6,5,2,1,0
"584",5,2,2,1,0
"585",4,6,2,1,0
"586",6,3,2,1,0
"587",4,6,2,1,0
"588",4,6,2,1,0
"589",3,6,2,1,0
"590",4,6,2,1,0
"591",6,4,2,1,0
"592",4,3,2,1,0
"593",4,5,2,1,0
"594",2,5,2,1,0
"595",6,5,2,1,0
"596",6,6,2,1,0
"597",4,5,2,1,0
"598",6,7,1,1,0
"599",4,6,2,1,0
"600",6,4,2,1,0
"601",4,6,2,1,0
"602",6,5,2,1,0
"603",6,7,2,1,0
"604",6,5,2,1,0
"605",2,7,2,1,0
"606",4,6,2,1,0
"607",2,7,2,1,0
"608",6,7,1,1,0
"609",6,5,2,1,0
"610",6,6,2,1,0
"611",3,6,2,1,0
"612",6,6,2,1,0
"613",2,5,2,1,0
"614",6,5,2,1,0
"615",6,6,2,1,0
"616",3,6,2,1,0
"617",6,6,2,1,0
"618",3,6,2,1,0
"619",5,5,2,1,0
"620",4,6,2,1,0
"621",6,4,2,1,0
"622",6,5,2,1,0
"623",6,5,2,1,0
"624",6,6,2,1,0
"625",6,6,2,1,0
"626",6,4,2,1,0
"627",5,6,2,1,0
"628",5,5,2,1,0
"629",6,5,2,1,0
"630",6,3,2,1,0
"631",6,5,2,1,0
"632",5,5,2,1,0
"633",6,4,2,1,0
"634",6,4,2,1,0
"635",6,6,2,1,0
"636",5,4,2,1,0
"637",5,2,2,1,0
"638",6,6,2,1,0
"639",6,6,2,1,0
"640",6,4,2,1,0
"641",6,5,2,1,0
"642",4,6,2,1,0
"643",6,5,2,1,0
"644",4,6,2,1,0
"645",6,4,2,1,0
"646",6,6,2,1,0
"647",4,7,2,1,0
"648",6,5,2,1,0
"649",4,6,2,1,0
"650",3,5,2,1,0
"651",3,6,2,1,0
"652",6,4,2,1,0
"653",6,4,2,1,0
"654",6,4,2,1,0
"655",6,5,2,1,0
"656",6,7,2,1,0
"657",2,7,2,1,0
"658",3,6,2,1,0
"659",4,2,2,1,0
"660",5,5,2,1,0
"661",6,4,2,1,0
"662",3,6,2,1,0
"663",6,6,2,1,0
"664",6,4,2,1,0
"665",6,5,2,1,0
"666",5,6,2,1,0
"667",4,5,2,1,0
"668",3,5,2,1,0
"669",4,5,2,1,0
"670",6,5,2,1,0
"671",6,4,2,1,0
"672",4,4,2,1,0
"673",5,4,2,1,0
"674",2,7,2,1,0
"675",4,6,2,1,0
"676",3,6,2,1,0
"677",3,6,2,1,0
"678",3,6,2,1,0
"679",6,5,2,1,0
"680",4,6,2,1,0
"681",6,5,2,1,0
"682",5,4,2,1,0
"683",6,4,2,1,0
"684",6,4,2,1,0
"685",2,7,2,1,0
"686",6,6,2,1,0
"687",4,6,2,1,0
"688",2,6,2,1,0
"689",6,6,2,1,0
"690",6,4,2,1,0
"691",6,6,2,1,0
"692",4,5,2,1,0
"693",6,7,2,1,0
"694",4,6,2,1,0
"695",4,5,2,1,0
"696",4,7,2,1,0
"697",4,6,2,1,0
"698",6,6,2,1,0
"699",6,4,2,1,0
