"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15","A16"
"436","b",36.17,5.5,"u","g","i","bb",3.26818973263665,"f","f",0,"f","g",210,687,"-"
"437","b",25.67,0.29,"y","p","c","v",1.5,"f","f",0,"t","g",160,0,"-"
"438","a",24.5,2.415,"y","p","c","v",0,"f","f",0,"f","g",120,0,"-"
"439","b",24.08,0.875,"u","g","m","v",0.085,"f","t",4,"f","g",254,1950,"-"
"440","b",21.92,0.5,"u","g","c","v",0.125,"f","f",0,"f","g",360,0,"-"
"441","a",36.58,0.29,"u","g","ff","ff",0,"f","t",10,"f","g",200,18,"-"
"442","a",23,1.835,"u","g","j","j",0,"f","t",1,"f","g",200,53,"-"
"443","a",27.58,3,"u","g","m","v",2.79,"f","t",1,"t","g",280,10,"-"
"444","b",31.08,3.085,"u","g","c","v",2.5,"f","t",2,"t","g",160,41,"-"
"445","a",30.42,1.375,"u","g","w","h",0.04,"f","t",3,"f","g",0,33,"-"
"446","b",22.08,2.335,"u","g","k","v",0.75,"f","f",0,"f","g",180,0,"-"
"447","b",16.33,4.085,"u","g","i","h",0.415,"f","f",0,"t","g",120,0,"-"
"448","a",21.92,11.665,"u","g","k","h",0.824258058534295,"f","f",0,"f","g",320,5,"-"
"449","b",21.08,4.125,"y","p","i","h",0.04,"f","f",0,"f","g",140,100,"-"
"450","b",17.42,6.5,"u","g","i","v",0.125,"f","f",0,"f","g",60,100,"-"
"451","b",19.17,4,"y","p","i","v",1,"f","f",0,"t","g",360,1000,"-"
"452","b",20.67,0.415,"u","g","c","v",0.125,"f","f",0,"f","g",0,44,"-"
"453","b",26.75,2,"u","g","d","v",0.75,"f","f",0,"t","g",80,0,"-"
"454","b",23.58,0.835,"u","g","i","h",3.05779893558823,"f","f",0,"t","g",220,5,"-"
"455","b",39.17,2.5,"y","p","i","h",10,"f","f",0,"t","s",200,0,"-"
"456","b",22.75,11.5,"u","g","i","v",0.415,"f","f",0,"f","g",0,0,"-"
"457","a",16.92,0.5,"u","g","i","v",0.165,"f","t",6,"t","g",240,35,"-"
"458","b",23.5,3.165,"y","p","k","v",0.415,"f","t",1,"t","g",280,80,"-"
"459","a",17.33,9.5,"u","g","aa","v",1.75,"f","t",10,"t","g",0,10,"-"
"460","b",23.75,0.415,"y","p","c","v",0.04,"f","t",2,"f","g",128,6,"-"
"461","b",34.67,1.08,"u","g","m","v",2.20930342551594,"f","f",0,"f","s",28,0,"-"
"462","b",74.83,19,"y","p","ff","ff",7.75087685430679,"f","t",2,"f","g",0,351,"-"
"463","b",28.17,0.125,"y","p","k","v",0.085,"f","f",0,"f","g",216,2100,"-"
"464","b",24.5,13.335,"y","p","aa","v",0.04,"f","f",0,"t","g",120,475,"-"
"465","b",18.83,3.54,"y","p","ff","ff",1.24553552975971,"f","f",0,"t","g",180,1,"-"
"466","a",47.25,0.75,"u","g","q","h",2.75,"t","t",1,"f","g",333,892,"+"
"467","b",24.17,0.875,"u","g","q","v",4.625,"t","t",2,"t","g",520,2000,"+"
"468","b",39.25,9.5,"u","g","m","v",6.5,"t","t",14,"f","g",240,4607,"+"
"469","a",20.5,11.835,"u","g","c","h",6,"t","f",0,"f","g",340,0,"+"
"470","a",18.83,4.415,"y","p","c","h",-0.0786869259412786,"t","f",0,"f","g",240,0,"+"
"471","b",19.17,9.5,"u","g","w","v",1.5,"t","f",0,"f","g",120,2206,"+"
"472","a",25,0.875,"u","g","x","h",0.898214530199519,"t","f",0,"t","g",160,5860,"+"
"473","b",20.17,9.25,"u","g","c","v",1.665,"t","t",3,"t","g",40,28,"+"
"474","b",25.75,0.5,"u","g","c","v",2.09297112934995,"t","t",5,"t","g",312,0,"+"
"475","b",20.42,7,"u","g","c","v",1.625,"t","t",3,"f","g",200,1391,"+"
"476","b",39,5,"u","g","cc","v",3.5,"t","t",10,"t","g",0,0,"+"
"477","a",64.08,0.165,"u","g","ff","ff",0,"t","t",1,"f","g",232,100,"+"
"478","b",28.25,5.125,"u","g","x","v",4.75,"t","t",2,"f","g",420,7,"+"
"479","a",28.75,3.75,"u","g","c","v",1.085,"t","t",1,"t","g",371,0,"+"
"480","b",31.33,19.5,"u","g","c","v",7,"t","t",16,"f","g",0,5000,"+"
"481","a",18.92,9,"u","g","aa","v",0.75,"t","t",2,"f","g",88,591,"+"
"482","a",24.75,3,"u","g","q","h",1.835,"t","t",19,"f","g",0,500,"+"
"483","a",30.67,12,"u","g","c","v",2,"t","t",1,"f","g",220,19,"+"
"484","b",21,4.79,"y","p","w","v",2.25,"t","t",1,"t","g",80,300,"+"
"485","b",13.75,4,"y","p","w","v",-0.827454189843596,"t","t",2,"t","g",120,1000,"+"
"486","a",46,4,"u","g","j","j",0,"t","f",0,"f","g",100,960,"+"
"487","a",44.33,0,"u","g","c","v",2.5,"t","f",0,"f","g",0,0,"+"
"488","b",20.25,9.96,"u","g","e","dd",0,"t","f",0,"f","g",0,0,"+"
"489","b",22.67,2.54,"y","p","c","h",3.20390699703146,"t","f",0,"f","g",0,0,"+"
"490","a",60.92,5,"u","g","aa","v",4,"t","t",4,"f","g",0,99,"+"
"491","b",16.08,0.75,"u","g","c","v",1.75,"t","t",5,"t","g",352,690,"+"
"492","a",28.17,0.375,"u","g","q","v",0.585,"t","t",4,"f","g",80,0,"+"
"493","b",39.17,1.71,"u","g","x","v",5.37496837569073,"t","t",5,"t","g",480,0,"+"
"494","a",30,5.29,"u","g","e","dd",0.680159890239834,"t","t",5,"t","g",99,500,"+"
"495","b",22.83,3,"u","g","m","v",1.29,"t","t",1,"f","g",260,800,"+"
"496","a",22.5,8.5,"u","g","q","v",1.75,"t","t",10,"f","g",80,990,"-"
"497","a",28.58,1.665,"u","g","q","v",1.29820410621176,"t","f",0,"t","g",440,0,"-"
"498","b",45.17,1.5,"u","g","c","v",2.5,"t","f",0,"t","g",140,0,"-"
"499","b",41.58,1.75,"u","g","k","v",2.09673663499299,"t","f",0,"f","g",160,0,"-"
"500","a",57.08,0.335,"u","g","i","bb",1,"t","f",0,"t","g",252,2197,"-"
"501","a",55.75,7.08,"u","g","k","h",6.75,"t","t",3,"t","g",100,50,"-"
"502","b",43.25,25.21,"u","g","q","h",0.21,"t","t",1,"f","g",760,90,"-"
"503","a",25.33,2.085,"u","g","c","h",2.75,"t","f",0,"t","g",360,1,"-"
"504","a",24.58,0.67,"u","g","aa","h",1.75,"t","f",0,"f","g",400,0,"-"
"505","b",43.17,2.25,"u","g","i","bb",0.75,"t","f",0,"f","g",560,0,"-"
"506","b",40.92,0.835,"u","g","ff","ff",0,"t","f",0,"f","g",130,1,"-"
"507","b",31.83,2.5,"u","g","aa","v",7.5,"t","f",0,"t","g",523,0,"-"
"508","a",33.92,1.585,"y","p","ff","ff",0,"t","f",0,"f","g",320,0,"-"
"509","a",24.92,1.25,"u","g","ff","ff",0,"t","f",0,"f","g",80,0,"-"
"510","b",35.25,3.165,"u","g","x","h",1.59612368896143,"t","f",0,"t","g",680,0,"-"
"511","b",34.25,1.75,"u","g","w","bb",0.25,"t","f",0,"t","g",163,0,"-"
"512","b",19.42,1.5,"y","p","cc","v",2,"t","f",0,"t","g",100,20,"-"
"513","b",42.75,3,"u","g","i","bb",1,"t","f",0,"f","g",0,200,"-"
"514","b",19.67,10,"y","p","k","h",0.836080464001662,"t","f",0,"t","g",140,0,"-"
"515","b",36.33,3.79,"u","g","w","v",1.165,"t","f",0,"t","g",200,0,"-"
"516","b",30.08,1.04,"y","p","i","bb",0.5,"t","t",10,"t","g",132,28,"-"
"517","b",44.25,11,"y","p","d","v",1.5,"t","f",0,"f","s",0,0,"-"
"518","b",23.58,0.46,"y","p","w","v",2.625,"t","t",6,"t","g",208,347,"-"
"519","b",23.92,1.5,"u","g","d","h",1.875,"t","t",6,"f","g",200,327,"+"
"520","b",33.17,1,"u","g","x","v",1.68205266811396,"t","t",7,"t","g",340,4071,"+"
"521","b",48.33,12,"u","g","m","v",16,"t","f",0,"f","s",110,0,"+"
"522","b",76.75,22.29,"u","g","e","z",9.28660561724203,"t","t",1,"t","g",0,109,"+"
"523","b",51.33,10,"u","g","i","bb",0,"t","t",11,"f","g",0,1249,"+"
"524","b",34.75,15,"u","g","r","n",1.64744887679311,"t","t",9,"t","g",0,134,"+"
"525","b",38.58,3.335,"u","g","w","v",5.52928343566697,"t","t",14,"f","g",383,1344,"+"
"526","a",22.42,11.25,"y","p","x","h",0.75,"t","t",4,"f","g",0,321,"+"
"527","b",41.92,0.42,"u","g","c","h",0.21,"t","t",6,"f","g",220,948,"+"
"528","b",29.58,4.5,"u","g","w","v",3.01979085862863,"t","t",2,"t","g",330,0,"+"
"529","a",32.17,1.46,"u","g","w","v",1.085,"t","t",16,"f","g",120,2079,"+"
"530","b",51.42,0.04,"u","g","x","h",0.04,"t","f",0,"f","g",0,3000,"+"
"531","a",22.83,2.29,"u","g","q","h",2.29,"t","t",7,"t","g",140,2384,"+"
"532","a",25,12.33,"u","g","cc","h",3.5,"t","t",6,"f","g",400,458,"+"
"533","b",26.75,1.125,"u","g","x","h",-0.892225036863423,"t","f",0,"f","g",0,5298,"+"
"534","b",23.33,1.5,"u","g","c","h",2.60549730251352,"t","f",0,"f","g",422,200,"+"
"535","b",24.42,12.335,"u","g","q","h",1.585,"t","f",0,"t","g",120,0,"+"
"536","b",42.17,5.04,"u","g","q","h",1.03062805852155,"t","f",0,"t","g",92,0,"+"
"537","a",20.83,3,"u","g","aa","v",0.04,"t","f",0,"f","g",100,0,"+"
"538","b",23.08,11.5,"u","g","w","h",2.125,"t","t",11,"t","g",290,284,"+"
"539","a",25.17,2.875,"u","g","x","h",0.28267715160797,"t","f",0,"f","g",360,0,"+"
"540","b",43.08,0.375,"y","p","c","v",0.375,"t","t",8,"t","g",300,162,"+"
"541","a",35.75,0.915,"u","g","aa","v",0.75,"t","t",4,"f","g",0,1583,"+"
"542","b",59.5,2.75,"u","g","w","v",1.75,"t","t",5,"t","g",60,58,"+"
"543","b",21,3,"y","p","d","v",1.085,"t","t",8,"t","g",160,1,"+"
"544","b",21.92,0.54,"y","p","x","v",0.04,"t","t",1,"t","g",840,59,"+"
"545","a",65.17,14,"u","g","ff","ff",0,"t","t",11,"t","g",0,1400,"+"
"546","a",20.33,10,"u","g","c","h",1,"t","t",4,"f","g",50,1465,"+"
"547","b",32.25,0.165,"y","p","c","h",2.68047897510228,"t","t",1,"t","g",432,8000,"+"
"548","b",30.17,0.5,"u","g","c","v",1.75,"t","t",11,"f","g",32,540,"+"
"549","b",25.17,6,"u","g","c","v",3.86331294995974,"t","t",3,"f","g",0,0,"+"
"550","b",39.17,1.625,"u","g","c","v",1.5,"t","t",10,"f","g",186,4700,"+"
"551","b",39.08,6,"u","g","m","v",1.29,"t","t",5,"t","g",108,1097,"+"
"552","b",31.67,0.83,"u","g","x","v",3.15011738911305,"t","t",8,"t","g",303,3290,"+"
"553","b",41,0.04,"u","g","e","v",0.04,"f","t",1,"f","s",560,0,"+"
"554","b",48.5,4.25,"u","g","m","v",0.125,"t","f",0,"t","g",225,0,"+"
"555","b",32.67,9,"y","p","w","h",0.0685124272816913,"t","f",0,"t","g",154,0,"+"
"556","a",28.08,15,"y","p","e","z",0,"t","f",0,"f","g",0,13212,"+"
"557","b",73.42,17.75,"u","g","ff","ff",0,"t","f",0,"t","g",0,0,"+"
"558","b",64.08,20,"u","g","x","h",17.5,"t","t",9,"t","g",0,1000,"+"
"559","b",51.58,15,"u","g","c","v",6.33425643328897,"t","t",9,"f","g",0,0,"+"
"560","b",26.67,1.75,"y","p","c","v",1,"t","t",5,"t","g",160,5777,"+"
"561","b",25.33,0.58,"u","g","c","v",0.29,"t","t",7,"t","g",96,5124,"+"
"562","b",30.17,6.5,"u","g","cc","v",3.125,"t","t",8,"f","g",330,1200,"+"
"563","b",27,0.75,"u","g","c","h",4.25,"t","t",3,"t","g",312,150,"+"
"564","b",34.17,5.25,"u","g","w","v",2.26363826575412,"f","f",0,"t","g",290,6,"+"
"565","b",38.67,0.21,"u","g","k","v",0.085,"t","f",0,"t","g",280,0,"+"
"566","b",25.75,0.75,"u","g","c","bb",0.25,"t","f",0,"f","g",349,23,"+"
"567","a",46.08,3,"u","g","c","v",2.375,"t","t",8,"t","g",396,4159,"+"
"568","a",21.5,6,"u","g","aa","v",2.5,"t","t",3,"f","g",80,918,"+"
"569","b",20.5,2.415,"u","g","c","v",1.4431887467917,"t","t",11,"t","g",200,3000,"+"
"570","a",29.5,0.46,"u","g","k","v",0.54,"t","t",4,"f","g",380,500,"+"
"571","b",29.83,1.25,"y","p","k","v",0.49255052574667,"f","f",0,"f","g",224,0,"-"
"572","b",20.08,0.25,"u","g","q","v",0.125,"f","f",0,"f","g",200,0,"-"
"573","b",23.42,0.585,"u","g","c","h",-0.549523193272859,"t","f",0,"f","g",180,0,"-"
"574","a",29.58,1.75,"y","p","k","v",1.25,"f","f",0,"t","g",280,0,"-"
"575","b",16.17,0.04,"u","g","c","v",0.04,"f","f",0,"f","g",0,0,"+"
"576","b",32.33,3.5,"u","g","k","v",0.5,"f","f",0,"t","g",232,0,"-"
"577","b",47.83,4.165,"u","g","x","bb",0.085,"f","f",0,"t","g",520,0,"-"
"578","b",20,1.25,"y","p","k","v",0.125,"f","f",0,"f","g",140,4,"-"
"579","b",27.58,3.25,"y","p","q","h",-0.162414557730763,"f","t",2,"t","g",369,1,"-"
"580","b",22,0.79,"u","g","w","v",0.29,"f","t",1,"f","g",420,283,"-"
"581","b",19.33,10.915,"u","g","c","bb",2.12993945729783,"f","t",2,"t","g",200,7,"-"
"582","a",38.33,4.415,"u","g","c","v",0.125,"f","f",0,"f","g",160,0,"-"
"583","b",29.42,1.25,"u","g","c","h",0.25,"f","t",2,"t","g",400,108,"-"
"584","b",22.67,0.75,"u","g","i","v",1.585,"f","t",1,"t","g",400,9,"-"
"585","b",32.25,14,"y","p","ff","ff",0,"f","t",2,"f","g",160,1,"-"
"586","b",29.58,4.75,"u","g","m","v",2,"f","t",1,"t","g",460,68,"-"
"587","b",18.42,10.415,"y","p","aa","v",1.01817322789635,"t","f",0,"f","g",120,375,"-"
"588","b",22.17,2.25,"u","g","i","v",0.125,"f","f",0,"f","g",160,10,"-"
"589","b",22.67,0.165,"u","g","c","j",2.25,"f","f",0,"t","s",0,0,"+"
"590","b",18.83,0,"u","g","q","v",0.665,"f","f",0,"f","g",160,1,"-"
"591","b",21.58,0.79,"y","p","cc","v",2.28652995906729,"f","f",0,"f","g",160,0,"-"
"592","b",23.75,12,"u","g","c","v",2.085,"f","f",0,"f","s",80,0,"-"
"593","b",36.08,2.54,"u","g","ff","ff",1.95499906493608,"f","f",0,"f","g",0,1000,"-"
"594","b",29.25,13,"u","g","d","h",0.5,"f","f",0,"f","g",228,0,"-"
"595","a",19.58,0.665,"u","g","w","v",1.665,"f","f",0,"f","g",220,5,"-"
"596","a",22.92,1.25,"u","g","q","v",0.25,"f","f",0,"t","g",120,809,"-"
"597","a",27.25,0.29,"u","g","m","h",0.125,"f","t",1,"t","g",272,108,"-"
"598","a",38.75,1.5,"u","g","ff","ff",0,"f","f",0,"f","g",76,0,"-"
"599","b",32.42,2.165,"y","p","k","ff",0,"f","f",0,"f","g",120,0,"-"
"600","a",23.75,0.71,"u","g","w","v",0.25,"f","t",1,"t","g",240,4,"-"
"601","b",18.17,2.46,"u","g","c","n",0.96,"f","t",2,"t","g",160,587,"-"
"602","b",40.92,0.5,"y","p","m","v",0.5,"f","f",0,"t","g",130,0,"-"
"603","b",19.5,9.585,"u","g","aa","v",0.79,"f","f",0,"f","g",80,350,"-"
"604","b",28.58,3.625,"u","g","aa","v",0.25,"f","f",0,"t","g",100,0,"-"
"605","b",35.58,0.75,"u","g","k","v",1.5,"f","f",0,"t","g",231,0,"-"
"606","b",34.17,2.75,"u","g","i","bb",2.5,"f","f",0,"t","g",232,200,"-"
"607","b",31.58,0.75,"y","p","aa","v",3.5,"f","f",0,"t","g",320,0,"-"
"608","a",52.5,7,"u","g","aa","h",3,"f","f",0,"f","g",0,0,"-"
"609","b",36.17,0.42,"y","p","w","v",0.29,"f","f",0,"t","g",309,2,"-"
"610","b",37.33,2.665,"u","g","cc","v",2.2635717240494,"f","f",0,"t","g",0,501,"-"
"611","a",20.83,8.5,"u","g","c","v",0.165,"f","f",0,"f","g",0,351,"-"
"612","b",24.08,9,"u","g","aa","v",0.25,"f","f",0,"t","g",0,0,"-"
"613","b",25.58,0.335,"u","g","k","h",3.5,"f","f",0,"t","g",340,0,"-"
"614","a",35.17,3.75,"u","g","ff","ff",0,"f","t",6,"f","g",0,200,"-"
"615","b",48.08,3.75,"u","g","i","bb",1,"f","f",0,"f","g",100,2,"-"
"616","a",15.83,7.625,"u","g","q","v",3.12529820974812,"f","t",1,"t","g",0,160,"-"
"617","a",22.5,0.415,"u","g","i","v",0.335,"f","f",0,"t","s",144,0,"-"
"618","b",21.5,11.5,"u","g","i","v",0.5,"t","f",0,"t","g",100,68,"-"
"619","a",23.58,0.83,"u","g","q","v",0.415,"f","t",1,"t","g",200,11,"-"
"620","a",21.08,5,"y","p","ff","ff",0,"f","f",0,"f","g",0,0,"-"
"621","b",25.67,3.25,"u","g","c","h",2.29,"f","t",1,"t","g",416,21,"-"
"622","a",38.92,1.665,"u","g","aa","v",0.25,"f","f",0,"f","g",0,390,"-"
"623","a",15.75,0.375,"u","g","c","v",1.25042005646864,"f","f",0,"f","g",120,18,"-"
"624","a",28.58,3.75,"u","g","c","v",0.25,"f","t",1,"t","g",40,154,"-"
"625","b",22.25,9,"u","g","aa","v",0.085,"f","f",0,"f","g",0,0,"-"
"626","b",29.83,3.5,"u","g","c","v",0.165,"f","f",0,"f","g",216,0,"-"
"627","a",23.5,1.5,"u","g","w","v",0.875,"f","f",0,"t","g",160,0,"-"
"628","b",32.08,4,"y","p","cc","v",1.5,"f","f",0,"t","g",120,0,"-"
"629","b",31.08,1.5,"y","p","w","v",0.04,"f","f",0,"f","s",160,0,"-"
"630","b",31.83,0.04,"y","p","m","v",0.04,"f","f",0,"f","g",0,0,"-"
"631","a",21.75,11.75,"u","g","c","v",0.25,"f","f",0,"t","g",180,0,"-"
"632","a",17.92,0.54,"u","g","c","v",1.75,"f","t",1,"t","g",80,5,"-"
"633","b",30.33,0.5,"u","g","d","h",0.085,"f","f",0,"t","s",252,0,"-"
"634","b",51.83,2.04,"y","p","ff","ff",1.5,"f","f",0,"f","g",120,1,"-"
"635","b",47.17,5.835,"u","g","w","v",5.5,"f","f",0,"f","g",465,150,"-"
"636","b",25.83,12.835,"u","g","cc","v",0.5,"f","f",0,"f","g",0,2,"-"
"637","a",50.25,0.835,"u","g","aa","v",0.5,"f","f",0,"t","g",240,117,"-"
"638","a",37.33,2.5,"u","g","i","h",0.21,"f","f",0,"f","g",260,246,"-"
"639","a",41.58,1.04,"u","g","aa","v",0.665,"f","f",0,"f","g",240,237,"-"
"640","a",30.58,10.665,"u","g","q","h",5.32197589883905,"f","t",12,"t","g",129,3,"-"
"641","b",19.42,7.25,"u","g","m","v",0.04,"f","t",1,"f","g",100,1,"-"
"642","a",17.92,10.21,"u","g","ff","ff",0,"f","f",0,"f","g",0,50,"-"
"643","a",20.08,1.25,"u","g","c","v",0,"f","f",0,"f","g",0,0,"-"
"644","b",19.5,0.29,"u","g","k","v",1.99573958690297,"f","f",0,"f","g",280,364,"-"
"645","b",27.83,1,"y","p","d","h",-0.173069896219833,"f","f",0,"f","g",176,537,"-"
"646","b",17.08,3.29,"u","g","i","v",0.335,"f","f",0,"t","g",140,2,"-"
"647","b",36.42,0.75,"y","p","d","v",0.585,"f","f",0,"f","g",240,3,"-"
"648","b",40.58,3.29,"u","g","m","v",3.5,"f","f",0,"t","s",400,0,"-"
"649","b",21.08,10.085,"y","p","e","h",1.25,"f","f",0,"f","g",260,0,"-"
"650","a",22.67,0.75,"u","g","c","v",2,"f","t",2,"t","g",200,394,"-"
"651","a",25.25,13.5,"y","p","ff","ff",2,"f","t",1,"t","g",200,1,"-"
"652","b",17.92,0.205,"u","g","aa","v",0.04,"f","f",0,"f","g",280,750,"-"
"653","b",35,3.375,"u","g","c","h",8.29,"f","f",0,"t","g",0,0,"-"
